No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,96,83,13.5%,Rp1.060.000,Rp60.000 - Rp100.000
2,Homeground Padel Kedoya,60,49,18.3%,Rp1.975.000,Rp99.000 - Rp340.000
3,Avion Sports Center,128,101,21.1%,Rp7.660.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,75,63,16.0%,Rp1.588.000,Rp99.000 - Rp199.000
5,Homeground Padel Premiere Kedoya,30,18,40.0%,Rp2.600.000,Rp150.000 - Rp250.000
6,Orange Garden Padel Club,56,43,23.2%,Rp2.244.000,Rp88.000 - Rp188.000
7,Westside Padel,56,33,41.1%,Rp5.125.000,Rp195.000 - Rp275.000
8,Padel One Club,60,32,46.7%,Rp7.700.000,Rp275.000
9,EZ Padel Tomang,64,44,31.2%,Rp5.572.987,Rp148.000 - Rp348.999
10,Max Padel,112,84,25.0%,Rp7.200.000,Rp125.000 - Rp300.000
11,The Citadel,84,50,40.5%,Rp9.950.000,Rp230.000 - Rp330.000
12,Padel at largo - Kedoya,45,21,53.3%,Rp5.600.000,Rp150.000 - Rp250.000
13,Vlocity Arena,160,127,20.6%,Rp8.614.000,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,80,70,12.5%,Rp3.150.000,Rp100.000 - Rp350.000
15,Juego Padel Club (JPC),105,99,5.7%,Rp960.000,Rp160.000 - Rp350.000
16,Stone Padel - Citra Garden City,64,48,25.0%,Rp2.900.000,Rp100.000 - Rp200.000
17,Daily Court,90,78,13.3%,Rp2.135.000,Rp100.000 - Rp210.000
18,River Padel,42,37,11.9%,Rp888.000,Rp150.000 - Rp219.000
19,KSC Racquet Club,120,69,42.5%,Rp14.265.000,Rp100.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),140,112,20.0%,Rp7.996.000,Rp199.000 - Rp300.000
21,Padel Spot,90,71,21.1%,Rp3.550.000,Rp150.000 - Rp200.000
22,IPC Padel Club Kedoya,128,93,27.3%,Rp6.100.000,Rp150.000 - Rp200.000
23,Badel Padel,64,37,42.2%,Rp5.755.000,Rp125.000 - Rp295.000
24,Base Padel,45,36,20.0%,Rp1.650.000,Rp150.000 - Rp225.000
25,Patra Padel House,13,13,0.0%,Rp0,Rp125.000 - Rp200.000
26,Terra Padel Court,32,32,0.0%,Rp0,Rp99.000 - Rp199.000
27,Tinny Padel,14,10,28.6%,Rp500.000,Rp125.000 - Rp188.000
28,Kobana Padel,48,45,6.2%,Rp720.000,Rp200.000 - Rp240.000
29,Padelgrounds,60,42,30.0%,Rp2.590.000,Rp99.000 - Rp200.000
30,Glass House Padel,42,32,23.8%,Rp2.046.000,Rp90.000 - Rp288.000
31,Sini Padel Court,75,55,26.7%,Rp3.082.000,Rp98.000 - Rp200.000
32,Xcite Padel,60,50,16.7%,Rp2.300.000,Rp160.000 - Rp230.000
33,Hobi Padel Meruya,64,36,43.8%,Rp3.584.000,Rp98.000 - Rp148.000
34,The Padel Point,60,51,15.0%,Rp2.150.000,Rp150.000 - Rp250.000
35,RacketGo Citra 5,64,42,34.4%,Rp3.660.000,Rp125.000 - Rp190.000
36,La Chiquita Padel,28,21,25.0%,Rp2.100.000,Rp200.000 - Rp300.000
37,Padre Padel Duri Kosambi,64,57,10.9%,Rp1.470.000,Rp150.000 - Rp210.000
38,Padeloo,48,36,25.0%,Rp2.340.000,Rp99.000 - Rp195.000
39,CPH Citra Padel House,45,36,20.0%,Rp1.055.000,Rp75.000 - Rp170.000
40,Vamos Arena Indonesia,160,158,1.2%,Rp800.000,Rp200.000 - Rp400.000
41,Playfieldcourt - Palmerah,64,48,25.0%,Rp6.320.000,Rp110.000 - Rp495.000
42,The Level 9 Padel,176,174,1.1%,Rp300.000,Rp125.000 - Rp150.000
43,Como Padel Court,56,50,10.7%,Rp1.099.000,Rp99.000 - Rp200.000
44,World Padel,42,33,21.4%,Rp1.675.000,Rp50.000 - Rp225.000
45,Padelin,48,33,31.2%,Rp1.750.000,Rp70.000 - Rp200.000
