No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,6,5,16.7%,Rp80.000,Rp80.000 - Rp100.000
2,Avion Sports Center,8,8,0.0%,Rp0,Rp250.000 - Rp1.000.000
3,EZ Padel Tomang,4,2,50.0%,Rp338.000,Rp169.000
4,Max Padel,7,7,0.0%,Rp0,Rp125.000
5,Vlocity Arena,10,10,0.0%,Rp0,Rp78.000 - Rp330.000
6,Boss Padel - Kedoya,5,5,0.0%,Rp0,Rp100.000 - Rp150.000
7,Stone Padel - Citra Garden City,4,4,0.0%,Rp0,Rp100.000
8,Daily Court,6,6,0.0%,Rp0,Rp100.000 - Rp210.000
9,IPC Padel Club Kedoya,8,8,0.0%,Rp0,Rp150.000
10,Badel Padel,4,2,50.0%,Rp250.000,Rp125.000
11,Terra Padel Court,2,2,0.0%,Rp0,Rp99.000
12,Kobana Padel,3,3,0.0%,Rp0,Rp240.000
13,Hobi Padel Meruya,4,3,25.0%,Rp98.000,Rp98.000
14,RacketGo Citra 5,4,2,50.0%,Rp250.000,Rp125.000
15,Padre Padel Duri Kosambi,4,4,0.0%,Rp0,Rp150.000
16,Padeloo,3,3,0.0%,Rp0,Rp175.000
17,Vamos Arena Indonesia,10,10,0.0%,Rp0,Rp200.000 - Rp350.000
18,Playfieldcourt - Palmerah,4,4,0.0%,Rp0,Rp110.000 - Rp275.000
19,The Level 9 Padel,11,11,0.0%,Rp0,Rp150.000
20,Padelin,3,3,0.0%,Rp0,Rp100.000
21,Paddle Padel,2,2,0.0%,Rp0,Rp200.000
22,Roots Padel House,1,1,0.0%,Rp0,Rp149.000
23,Zplay Padel,3,3,0.0%,Rp0,Rp80.000 - Rp175.000
24,Donkey Padel,2,2,0.0%,Rp0,Rp99.000
25,Padel Quarter,4,3,25.0%,Rp80.000,Rp80.000 - Rp90.000
26,"KALMA Social Club - Jl. Panjang, Kedoya",5,2,60.0%,Rp597.000,Rp170.000 - Rp199.000
27,PIPC - Play In Padel Collective - Srengseng,6,4,33.3%,Rp200.000,Rp100.000
28,KOTA COURTS by PADELGRID Mangga Besar,3,0,100.0%,Rp450.000,Rp150.000
29,Powerhouse Padel AZURE Taman Surya,4,3,25.0%,Rp75.000,Rp75.000
30,Angke Padel,6,6,0.0%,Rp0,Rp100.000
31,DAAN MOGOT PADEL COURT,6,4,33.3%,Rp350.000,Rp175.000
32,Kaia Padel Reserve,5,5,0.0%,Rp0,Rp100.000
33,Tangkas Padel,3,3,0.0%,Rp0,Rp200.000
34,Cosmo Padel,2,2,0.0%,Rp0,Rp128.000
35,Commune Courts,6,6,0.0%,Rp0,Rp300.000
36,EL WILLY PADEL,2,2,0.0%,Rp0,Rp300.000
37,Malta Padel Club,5,5,0.0%,Rp0,Rp200.000
38,Golcindo Padel Club,2,2,0.0%,Rp0,Rp99.000
