No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,108,101,6.5%,Rp560.000,Rp60.000 - Rp100.000
2,Homeground Padel Kedoya,68,63,7.4%,Rp775.000,Rp99.000 - Rp200.000
3,Avion Sports Center,184,164,10.9%,Rp11.600.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,80,66,17.5%,Rp1.986.000,Rp99.000 - Rp199.000
5,Homeground Padel Premiere Kedoya,34,29,14.7%,Rp1.050.000,Rp150.000 - Rp250.000
6,Orange Garden Padel Club,64,64,0.0%,Rp0,Rp88.000 - Rp188.000
7,Westside Padel,64,35,45.3%,Rp6.775.000,Rp195.000 - Rp275.000
8,Padel One Club,68,46,32.4%,Rp6.050.000,Rp275.000
9,EZ Padel Tomang,72,66,8.3%,Rp2.093.994,Rp148.000 - Rp348.999
10,Max Padel,126,100,20.6%,Rp6.000.000,Rp125.000 - Rp300.000
11,The Citadel,96,75,21.9%,Rp5.995.000,Rp230.000 - Rp330.000
12,Padel at largo - Kedoya,54,23,57.4%,Rp6.350.000,Rp150.000 - Rp250.000
13,Vlocity Arena,180,142,21.1%,Rp9.851.500,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,90,80,11.1%,Rp2.100.000,Rp100.000 - Rp350.000
15,Juego Padel Club (JPC),144,131,9.0%,Rp2.336.000,Rp80.000 - Rp350.000
16,Stone Padel - Citra Garden City,72,54,25.0%,Rp3.000.000,Rp100.000 - Rp200.000
17,Daily Court,108,91,15.7%,Rp3.220.000,Rp100.000 - Rp210.000
18,River Padel,48,40,16.7%,Rp1.200.000,Rp150.000
19,KSC Racquet Club,127,80,37.0%,Rp13.450.000,Rp150.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),168,121,28.0%,Rp20.594.000,Rp199.000 - Rp1.400.000
21,Padel Spot,102,95,6.9%,Rp1.300.000,Rp150.000 - Rp200.000
22,IPC Padel Club Kedoya,144,110,23.6%,Rp5.850.000,Rp150.000 - Rp200.000
23,Badel Padel,72,55,23.6%,Rp3.485.000,Rp100.000 - Rp295.000
24,Base Padel,51,50,2.0%,Rp150.000,Rp150.000 - Rp225.000
25,Patra Padel House,15,15,0.0%,Rp0,Rp125.000 - Rp200.000
26,Terra Padel Court,36,31,13.9%,Rp495.000,Rp99.000 - Rp199.000
27,Tinny Padel,16,12,25.0%,Rp752.000,Rp125.000 - Rp188.000
28,Kobana Padel,54,53,1.9%,Rp200.000,Rp200.000 - Rp240.000
29,Glass House Padel,48,40,16.7%,Rp1.496.000,Rp90.000 - Rp249.000
30,Sini Padel Court,85,64,24.7%,Rp3.255.000,Rp98.000 - Rp200.000
31,Xcite Padel,68,61,10.3%,Rp1.540.000,Rp160.000 - Rp230.000
32,Hobi Padel Meruya,72,60,16.7%,Rp1.696.000,Rp98.000 - Rp148.000
33,The Padel Point,68,66,2.9%,Rp300.000,Rp150.000
34,RacketGo Citra 5,72,38,47.2%,Rp5.420.000,Rp125.000 - Rp190.000
35,Eagle Padel PIK,64,39,39.1%,Rp4.570.000,Rp170.000 - Rp250.000
36,Padre Padel Duri Kosambi,72,70,2.8%,Rp420.000,Rp150.000 - Rp210.000
37,Padeloo,54,44,18.5%,Rp1.662.000,Rp99.000 - Rp195.000
38,CPH Citra Padel House,51,29,43.1%,Rp2.030.000,Rp75.000 - Rp170.000
39,Vamos Arena Indonesia,180,145,19.4%,Rp11.050.000,Rp200.000 - Rp400.000
40,The Level 9 Padel,198,183,7.6%,Rp2.250.000,Rp125.000 - Rp150.000
41,Como Padel Court,60,48,20.0%,Rp2.239.000,Rp99.000 - Rp200.000
42,World Padel,42,31,26.2%,Rp1.950.000,Rp50.000 - Rp225.000
43,Padelin,54,43,20.4%,Rp860.000,Rp70.000 - Rp200.000
44,Nordic Courts,96,63,34.4%,Rp5.319.000,Rp77.000 - Rp250.000
45,Courtyard Padel Club,105,89,15.2%,Rp5.115.000,Rp165.000 - Rp650.000
46,Padel On Mars,26,22,15.4%,Rp540.000,Rp115.000 - Rp135.000
47,Padel Meruya Airdome,96,90,6.2%,Rp2.194.000,Rp349.000 - Rp399.000
48,Hachi Padel Puri Indah Jakarta,64,54,15.6%,Rp2.880.000,Rp288.000
49,JC Padel Kedoya,30,28,6.7%,Rp760.000,Rp100.000 - Rp380.000
50,Tennis Padel Matic Mal Ciputra,60,41,31.7%,Rp1.520.000,Rp80.000
51,Paddle Padel,36,34,5.6%,Rp300.000,Rp150.000 - Rp200.000
52,Roots Padel House,17,14,17.6%,Rp549.000,Rp149.000 - Rp200.000
53,Coco Padel Court Jakarta,48,43,10.4%,Rp915.000,Rp100.000 - Rp200.000
