No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,108,96,11.1%,Rp960.000,Rp60.000 - Rp100.000
2,Homeground Padel Kedoya,68,58,14.7%,Rp1.169.000,Rp99.000 - Rp340.000
3,Avion Sports Center,184,170,7.6%,Rp7.500.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,80,69,13.8%,Rp1.489.000,Rp99.000 - Rp199.000
5,Homeground Padel Premiere Kedoya,34,24,29.4%,Rp2.200.000,Rp150.000 - Rp250.000
6,Orange Garden Padel Club,64,60,6.2%,Rp752.000,Rp88.000 - Rp188.000
7,Westside Padel,64,36,43.8%,Rp6.420.000,Rp195.000 - Rp275.000
8,Padel One Club,68,40,41.2%,Rp7.700.000,Rp275.000
9,EZ Padel Tomang,72,57,20.8%,Rp4.832.987,Rp148.000 - Rp348.999
10,Max Padel,126,101,19.8%,Rp6.400.000,Rp125.000 - Rp300.000
11,The Citadel,96,80,16.7%,Rp4.780.000,Rp230.000 - Rp330.000
12,Padel at largo - Kedoya,54,23,57.4%,Rp6.350.000,Rp150.000 - Rp250.000
13,Vlocity Arena,180,140,22.2%,Rp9.787.000,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,90,80,11.1%,Rp2.100.000,Rp100.000 - Rp350.000
15,Juego Padel Club (JPC),112,98,12.5%,Rp2.624.000,Rp160.000 - Rp350.000
16,Stone Padel - Citra Garden City,72,58,19.4%,Rp2.500.000,Rp100.000 - Rp200.000
17,Daily Court,108,89,17.6%,Rp3.420.000,Rp100.000 - Rp210.000
18,River Padel,48,39,18.8%,Rp1.350.000,Rp150.000
19,KSC Racquet Club,136,82,39.7%,Rp15.600.000,Rp100.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),160,122,23.8%,Rp10.744.000,Rp199.000 - Rp300.000
21,Padel Spot,102,73,28.4%,Rp5.200.000,Rp150.000 - Rp200.000
22,IPC Padel Club Kedoya,144,109,24.3%,Rp6.500.000,Rp150.000 - Rp200.000
23,Badel Padel,72,55,23.6%,Rp4.310.000,Rp100.000 - Rp295.000
24,Base Padel,51,47,7.8%,Rp750.000,Rp150.000 - Rp225.000
25,Patra Padel House,15,15,0.0%,Rp0,Rp125.000 - Rp200.000
26,Terra Padel Court,36,29,19.4%,Rp793.000,Rp99.000 - Rp199.000
27,Tinny Padel,16,16,0.0%,Rp0,Rp125.000 - Rp188.000
28,Kobana Padel,54,52,3.7%,Rp480.000,Rp200.000 - Rp240.000
29,Padelgrounds,68,51,25.0%,Rp2.659.000,Rp99.000 - Rp200.000
30,Glass House Padel,32,23,28.1%,Rp1.869.000,Rp125.000 - Rp249.000
31,Sini Padel Court,85,69,18.8%,Rp2.703.000,Rp98.000 - Rp200.000
32,Xcite Padel,68,57,16.2%,Rp2.250.000,Rp160.000 - Rp230.000
33,Hobi Padel Meruya,72,55,23.6%,Rp2.306.000,Rp98.000 - Rp148.000
34,The Padel Point,68,54,20.6%,Rp2.100.000,Rp150.000
35,RacketGo Citra 5,72,44,38.9%,Rp4.800.000,Rp125.000 - Rp190.000
36,La Chiquita Padel,32,32,0.0%,Rp0,Rp200.000 - Rp300.000
37,Padre Padel Duri Kosambi,72,70,2.8%,Rp420.000,Rp150.000 - Rp210.000
