No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,96,71,26.0%,Rp1.750.000,Rp70.000 - Rp100.000
2,Homeground Padel Kedoya,60,34,43.3%,Rp5.050.000,Rp150.000 - Rp200.000
3,Avion Sports Center,128,108,15.6%,Rp14.400.000,Rp200.000 - Rp1.000.000
4,Sunday Padel - Meruya,75,16,78.7%,Rp5.841.000,Rp99.000
5,Homeground Padel Premiere Kedoya,30,6,80.0%,Rp6.000.000,Rp250.000
6,Orange Garden Padel Club,56,50,10.7%,Rp828.000,Rp138.000
7,Westside Padel,56,24,57.1%,Rp7.520.000,Rp235.000
8,Padel One Club,60,41,31.7%,Rp4.372.000,Rp99.000 - Rp275.000
9,EZ Padel Tomang,64,39,39.1%,Rp5.304.994,Rp169.000 - Rp348.999
10,Max Padel,112,93,17.0%,Rp4.650.000,Rp175.000 - Rp300.000
11,The Citadel,84,57,32.1%,Rp8.910.000,Rp300.000 - Rp330.000
12,Padel at largo - Kedoya,45,19,57.8%,Rp3.874.000,Rp149.000
13,Vlocity Arena,160,83,48.1%,Rp16.699.500,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,80,21,73.8%,Rp10.075.000,Rp100.000 - Rp175.000
15,Juego Padel Club (JPC),105,59,43.8%,Rp8.710.000,Rp160.000 - Rp250.000
16,Stone Padel - Citra Garden City,64,37,42.2%,Rp3.500.000,Rp100.000 - Rp200.000
17,Daily Court,96,68,29.2%,Rp3.920.000,Rp100.000 - Rp210.000
18,River Padel,42,37,11.9%,Rp1.245.000,Rp249.000
19,KSC Racquet Club,120,55,54.2%,Rp17.415.000,Rp100.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),140,84,40.0%,Rp15.984.000,Rp200.000 - Rp300.000
21,Padel Spot,90,58,35.6%,Rp4.800.000,Rp150.000
22,IPC Padel Club Kedoya,128,78,39.1%,Rp7.500.000,Rp150.000
23,Badel Padel,64,30,53.1%,Rp6.200.000,Rp125.000 - Rp200.000
24,Base Padel,45,36,20.0%,Rp1.755.000,Rp195.000
25,Patra Padel House,14,14,0.0%,Rp0,Rp200.000
