No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,108,81,25.0%,Rp2.160.000,Rp60.000 - Rp100.000
2,Homeground Padel Kedoya,68,49,27.9%,Rp3.474.000,Rp99.000 - Rp200.000
3,Avion Sports Center,176,159,9.7%,Rp10.440.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,80,59,26.2%,Rp3.079.000,Rp99.000 - Rp199.000
5,Homeground Padel Premiere Kedoya,34,30,11.8%,Rp1.000.000,Rp150.000 - Rp250.000
6,Orange Garden Padel Club,64,62,3.1%,Rp376.000,Rp88.000 - Rp188.000
7,Westside Padel,64,39,39.1%,Rp5.435.000,Rp195.000 - Rp275.000
8,Padel One Club,68,39,42.6%,Rp7.975.000,Rp275.000
9,EZ Padel Tomang,72,45,37.5%,Rp7.622.983,Rp169.000 - Rp348.999
10,Max Padel,126,104,17.5%,Rp5.825.000,Rp125.000 - Rp300.000
11,The Citadel,96,56,41.7%,Rp11.905.000,Rp230.000 - Rp330.000
12,Padel at largo - Kedoya,51,35,31.4%,Rp3.500.000,Rp150.000 - Rp250.000
13,Vlocity Arena,180,128,28.9%,Rp12.945.000,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,90,82,8.9%,Rp1.550.000,Rp100.000 - Rp350.000
15,Juego Padel Club (JPC),112,86,23.2%,Rp5.660.000,Rp160.000 - Rp350.000
16,Stone Padel - Citra Garden City,72,53,26.4%,Rp3.100.000,Rp100.000 - Rp200.000
17,Daily Court,108,76,29.6%,Rp4.990.000,Rp100.000 - Rp210.000
18,River Padel,48,32,33.3%,Rp2.745.000,Rp150.000 - Rp219.000
19,KSC Racquet Club,136,78,42.6%,Rp16.160.000,Rp100.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),168,110,34.5%,Rp21.568.000,Rp199.000 - Rp1.400.000
21,Padel Spot,102,88,13.7%,Rp2.800.000,Rp150.000 - Rp200.000
22,Badel Padel,72,32,55.6%,Rp7.305.000,Rp100.000 - Rp295.000
23,Base Padel,51,45,11.8%,Rp1.350.000,Rp150.000 - Rp225.000
24,Patra Padel House,16,14,12.5%,Rp400.000,Rp125.000 - Rp200.000
25,Terra Padel Court,36,28,22.2%,Rp1.192.000,Rp99.000 - Rp199.000
26,Tinny Padel,16,9,43.8%,Rp1.064.000,Rp125.000 - Rp188.000
27,Kobana Padel,54,44,18.5%,Rp2.400.000,Rp200.000 - Rp240.000
