No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,108,71,34.3%,Rp2.590.000,Rp70.000 - Rp100.000
2,Homeground Padel Kedoya,68,33,51.5%,Rp6.550.000,Rp150.000 - Rp200.000
3,Avion Sports Center,176,162,8.0%,Rp11.100.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,80,37,53.8%,Rp4.257.000,Rp99.000
5,Homeground Padel Premiere Kedoya,34,19,44.1%,Rp3.750.000,Rp250.000
6,Orange Garden Padel Club,64,48,25.0%,Rp1.408.000,Rp88.000
7,Westside Padel,64,30,53.1%,Rp7.990.000,Rp235.000
8,Padel One Club,68,41,39.7%,Rp6.900.000,Rp250.000 - Rp275.000
9,EZ Padel Tomang,72,52,27.8%,Rp4.459.994,Rp169.000 - Rp348.999
10,Max Padel,126,105,16.7%,Rp4.925.000,Rp175.000 - Rp300.000
11,The Citadel,96,57,40.6%,Rp12.600.000,Rp300.000 - Rp330.000
12,Padel at largo - Kedoya,51,38,25.5%,Rp1.937.000,Rp149.000
13,Vlocity Arena,180,80,55.6%,Rp18.791.500,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,90,67,25.6%,Rp3.875.000,Rp100.000 - Rp175.000
15,Juego Padel Club (JPC),118,92,22.0%,Rp4.430.000,Rp100.000 - Rp250.000
16,Stone Padel - Citra Garden City,72,48,33.3%,Rp2.600.000,Rp100.000 - Rp200.000
17,Daily Court,108,85,21.3%,Rp3.490.000,Rp100.000 - Rp210.000
18,River Padel,48,42,12.5%,Rp1.494.000,Rp249.000
19,KSC Racquet Club,127,81,36.2%,Rp13.670.000,Rp125.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),168,84,50.0%,Rp37.184.000,Rp200.000 - Rp2.800.000
21,Padel Spot,102,63,38.2%,Rp5.850.000,Rp150.000
22,IPC Padel Club Kedoya,144,102,29.2%,Rp6.300.000,Rp150.000
23,Badel Padel,72,41,43.1%,Rp5.100.000,Rp100.000 - Rp175.000
24,Base Padel,51,6,88.2%,Rp8.775.000,Rp195.000
25,Patra Padel House,16,16,0.0%,Rp0,Rp200.000
26,Terra Padel Court,36,33,8.3%,Rp447.000,Rp149.000
27,Tinny Padel,16,7,56.2%,Rp1.125.000,Rp125.000 - Rp188.000
28,Kobana Padel,54,46,14.8%,Rp1.680.000,Rp200.000 - Rp240.000
29,Glass House Padel,48,32,33.3%,Rp2.309.000,Rp90.000 - Rp200.000
30,Sini Padel Court,85,59,30.6%,Rp3.354.000,Rp125.000 - Rp129.000
31,Xcite Padel,68,31,54.4%,Rp5.920.000,Rp160.000
32,Hobi Padel Meruya,72,16,77.8%,Rp6.628.000,Rp98.000 - Rp148.000
33,The Padel Point,68,49,27.9%,Rp3.800.000,Rp150.000 - Rp200.000
34,RacketGo Citra 5,72,35,51.4%,Rp5.665.000,Rp125.000 - Rp190.000
35,Eagle Padel PIK,64,26,59.4%,Rp9.500.000,Rp250.000
36,Padre Padel Duri Kosambi,72,64,11.1%,Rp1.200.000,Rp150.000
37,Padeloo,54,32,40.7%,Rp3.024.000,Rp99.000 - Rp195.000
38,CPH Citra Padel House,51,20,60.8%,Rp3.330.000,Rp90.000 - Rp135.000
39,Vamos Arena Indonesia,180,166,7.8%,Rp4.200.000,Rp300.000
