No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,108,81,25.0%,Rp1.950.000,Rp70.000 - Rp100.000
2,Homeground Padel Kedoya,68,56,17.6%,Rp2.350.000,Rp150.000 - Rp200.000
3,Avion Sports Center,184,164,10.9%,Rp9.600.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,80,41,48.8%,Rp3.861.000,Rp99.000
5,Homeground Padel Premiere Kedoya,34,28,17.6%,Rp1.500.000,Rp250.000
6,Orange Garden Padel Club,64,47,26.6%,Rp1.496.000,Rp88.000
7,Westside Padel,64,32,50.0%,Rp7.520.000,Rp235.000
8,Padel One Club,68,25,63.2%,Rp4.257.000,Rp99.000
9,EZ Padel Tomang,72,45,37.5%,Rp5.282.996,Rp169.000 - Rp348.999
10,Max Padel,126,116,7.9%,Rp2.500.000,Rp175.000 - Rp300.000
11,The Citadel,96,58,39.6%,Rp12.330.000,Rp300.000 - Rp330.000
12,Padel at largo - Kedoya,51,26,49.0%,Rp3.725.000,Rp149.000
13,Vlocity Arena,180,90,50.0%,Rp17.315.000,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,90,68,24.4%,Rp3.725.000,Rp100.000 - Rp175.000
15,Juego Padel Club (JPC),143,127,11.2%,Rp3.280.000,Rp80.000 - Rp250.000
16,Stone Padel - Citra Garden City,72,51,29.2%,Rp2.200.000,Rp100.000 - Rp200.000
17,Daily Court,108,56,48.1%,Rp6.370.000,Rp100.000 - Rp210.000
18,River Padel,48,34,29.2%,Rp3.486.000,Rp249.000
19,KSC Racquet Club,127,76,40.2%,Rp14.935.000,Rp125.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),168,61,63.7%,Rp41.876.000,Rp200.000 - Rp2.800.000
21,Padel Spot,102,81,20.6%,Rp3.150.000,Rp150.000
22,IPC Padel Club Kedoya,144,111,22.9%,Rp4.950.000,Rp150.000
23,Badel Padel,72,39,45.8%,Rp5.050.000,Rp100.000 - Rp175.000
24,Base Padel,51,49,3.9%,Rp390.000,Rp195.000
25,Patra Padel House,15,15,0.0%,Rp0,Rp200.000
26,Terra Padel Court,36,33,8.3%,Rp447.000,Rp149.000
27,Tinny Padel,16,12,25.0%,Rp626.000,Rp125.000 - Rp188.000
28,Kobana Padel,54,39,27.8%,Rp3.160.000,Rp200.000 - Rp240.000
29,Glass House Padel,48,29,39.6%,Rp3.011.000,Rp90.000 - Rp200.000
30,Sini Padel Court,85,70,17.6%,Rp1.935.000,Rp125.000 - Rp129.000
31,Xcite Padel,68,44,35.3%,Rp3.840.000,Rp160.000
32,Hobi Padel Meruya,72,35,51.4%,Rp4.386.000,Rp98.000 - Rp148.000
33,The Padel Point,68,54,20.6%,Rp2.800.000,Rp150.000 - Rp200.000
34,RacketGo Citra 5,72,45,37.5%,Rp4.610.000,Rp125.000 - Rp190.000
35,Eagle Padel PIK,64,40,37.5%,Rp6.000.000,Rp250.000
36,Padre Padel Duri Kosambi,72,60,16.7%,Rp1.800.000,Rp150.000
37,Padeloo,54,27,50.0%,Rp3.195.000,Rp99.000 - Rp195.000
38,CPH Citra Padel House,51,36,29.4%,Rp1.530.000,Rp90.000 - Rp135.000
39,Vamos Arena Indonesia,180,150,16.7%,Rp9.000.000,Rp300.000
40,The Level 9 Padel,198,190,4.0%,Rp1.150.000,Rp125.000 - Rp150.000
41,Como Padel Court,60,53,11.7%,Rp1.299.000,Rp99.000 - Rp200.000
